,experiment,_time,messageDuplicated,messageReceived,graft,prune,iwant,ihave
237,391,2023-10-04 19:41:50+00:00,23524.0,3420.0,0.0,0.0,1.0,1593.0
238,391,2023-10-04 19:42:00+00:00,25280.0,3752.0,0.0,0.0,3.0,1340.0
239,391,2023-10-04 19:42:10+00:00,24052.0,3566.0,0.0,0.0,0.0,1652.0
240,391,2023-10-04 19:42:20+00:00,25988.0,3845.0,0.0,0.0,0.0,1484.0
241,391,2023-10-04 19:42:30+00:00,23061.0,3412.0,0.0,0.0,0.0,1342.0
242,391,2023-10-04 19:42:40+00:00,23012.0,3414.0,0.0,0.0,0.0,1644.0
243,391,2023-10-04 19:42:50+00:00,25570.0,3779.0,0.0,0.0,0.0,1483.0
244,391,2023-10-04 19:43:00+00:00,24549.0,3618.0,0.0,0.0,0.0,1230.0
245,391,2023-10-04 19:43:10+00:00,22218.0,3293.0,0.0,0.0,0.0,1509.0
246,391,2023-10-04 19:43:20+00:00,19425.0,2875.0,0.0,0.0,0.0,1361.0
247,391,2023-10-04 19:43:30+00:00,25567.0,3775.0,0.0,0.0,0.0,1226.0
248,391,2023-10-04 19:43:40+00:00,21739.0,3215.0,0.0,0.0,0.0,1501.0
249,391,2023-10-04 19:43:50+00:00,20852.0,3115.0,0.0,0.0,1.0,1359.0
250,391,2023-10-04 19:44:00+00:00,18059.0,2705.0,0.0,0.0,0.0,1151.0
251,391,2023-10-04 19:44:10+00:00,22403.0,3383.0,0.0,0.0,0.0,1400.0
252,391,2023-10-04 19:44:20+00:00,21369.0,3215.0,0.0,0.0,0.0,1284.0
253,391,2023-10-04 19:44:30+00:00,19523.0,2945.0,0.0,0.0,0.0,1152.0
254,391,2023-10-04 19:44:40+00:00,16498.0,2470.0,0.0,0.0,2.0,1325.0
255,391,2023-10-04 19:44:50+00:00,19744.0,2935.0,0.0,0.0,0.0,1142.0
256,391,2023-10-04 19:45:00+00:00,15108.0,2238.0,0.0,0.0,0.0,987.0
257,391,2023-10-04 19:45:10+00:00,14310.0,2111.0,0.0,0.0,0.0,1136.0
258,391,2023-10-04 19:45:20+00:00,19631.0,2898.0,0.0,0.0,0.0,1029.0
259,391,2023-10-04 19:45:30+00:00,16284.0,2399.0,0.0,0.0,0.0,931.0
260,391,2023-10-04 19:45:40+00:00,14605.0,2153.0,0.0,0.0,1.0,1122.0
261,391,2023-10-04 19:45:50+00:00,16524.0,2344.0,0.0,0.0,0.0,900.0
262,391,2023-10-04 19:46:00+00:00,14657.0,2087.0,0.0,0.0,0.0,820.0
263,391,2023-10-04 19:46:10+00:00,14164.0,2028.0,0.0,0.0,0.0,1019.0
264,391,2023-10-04 19:46:20+00:00,16092.0,2276.0,0.0,0.0,0.0,899.0
265,391,2023-10-04 19:46:30+00:00,19284.0,2734.0,0.0,0.0,0.0,825.0
266,391,2023-10-04 19:46:40+00:00,13126.0,1855.0,0.0,0.0,0.0,1017.0
267,391,2023-10-04 19:46:50+00:00,13062.0,1855.0,0.0,0.0,0.0,901.0
268,391,2023-10-04 19:47:00+00:00,17343.0,2472.0,0.0,0.0,0.0,824.0
269,391,2023-10-04 19:47:10+00:00,13016.0,1859.0,0.0,0.0,0.0,1017.0
270,391,2023-10-04 19:47:20+00:00,13123.0,1853.0,0.0,0.0,0.0,900.0
271,391,2023-10-04 19:47:30+00:00,17450.0,2481.0,0.0,0.0,0.0,826.0
272,391,2023-10-04 19:47:40+00:00,13051.0,1852.0,0.0,0.0,0.0,1017.0
273,391,2023-10-04 19:47:50+00:00,13049.0,1855.0,0.0,0.0,0.0,904.0
274,391,2023-10-04 19:48:00+00:00,17759.0,2524.0,0.0,0.0,0.0,823.0
275,391,2023-10-04 19:48:10+00:00,11927.0,1700.0,0.0,0.0,0.0,968.0
276,391,2023-10-04 19:48:20+00:00,11174.0,1606.0,0.0,0.0,0.0,812.0
277,391,2023-10-04 19:48:30+00:00,14929.0,2135.0,0.0,0.0,0.0,742.0
278,391,2023-10-04 19:48:40+00:00,9959.0,1470.0,0.0,0.0,0.0,842.0
279,391,2023-10-04 19:48:50+00:00,9553.0,1420.0,0.0,0.0,0.0,732.0
280,391,2023-10-04 19:49:00+00:00,13027.0,1921.0,0.0,0.0,0.0,663.0
281,391,2023-10-04 19:49:10+00:00,9544.0,1418.0,0.0,0.0,0.0,816.0
282,391,2023-10-04 19:49:20+00:00,10098.0,1509.0,0.0,0.0,0.0,733.0
283,391,2023-10-04 19:49:30+00:00,13133.0,1950.0,0.0,0.0,0.0,663.0
284,391,2023-10-04 19:49:40+00:00,10556.0,1570.0,0.0,0.0,0.0,820.0
285,391,2023-10-04 19:49:50+00:00,10246.0,1517.0,0.0,0.0,0.0,736.0
286,391,2023-10-04 19:50:00+00:00,12732.0,1874.0,0.0,0.0,0.0,666.0
287,391,2023-10-04 19:50:10+00:00,11416.0,1695.0,0.0,0.0,0.0,819.0
288,391,2023-10-04 19:50:20+00:00,11152.0,1654.0,0.0,0.0,0.0,737.0
289,391,2023-10-04 19:50:30+00:00,11960.0,1770.0,0.0,0.0,0.0,669.0
290,391,2023-10-04 19:50:40+00:00,12340.0,1837.0,0.0,0.0,0.0,821.0
291,391,2023-10-04 19:50:50+00:00,11224.0,1663.0,0.0,0.0,0.0,733.0
292,391,2023-10-04 19:51:00+00:00,10412.0,1534.0,0.0,0.0,0.0,664.0
293,391,2023-10-04 19:51:10+00:00,12189.0,1817.0,0.0,0.0,0.0,824.0
